NACA#,Camber (%),Camber Position (x/c),Thickness (%),Re,Mach,Alpha,CL,CD,CM
naca0208,0.0,0.2,8.0,100000,0.1,0,0.0,0.01127,-0.0
naca0208,0.0,0.2,8.0,100000,0.1,1,0.0579,0.01164,0.0081
naca0208,0.0,0.2,8.0,100000,0.1,2,0.2075,0.01264,-0.0029
naca0208,0.0,0.2,8.0,100000,0.1,3,0.391,0.01189,-0.0115
naca0208,0.0,0.2,8.0,100000,0.1,4,0.8816,0.00757,-0.1636
naca0208,0.0,0.2,8.0,100000,0.1,5,0.5494,0.0201,0.0045
naca0208,0.0,0.2,8.0,100000,0.1,6,0.649,0.02732,0.0081
naca0208,0.0,0.2,8.0,100000,0.1,7,0.7284,0.03985,0.0131
naca0208,0.0,0.2,8.0,100000,0.1,8,1.3049,0.04274,-0.055
naca0208,0.0,0.2,8.0,100000,0.15,0,0.0,0.0113,-0.0
naca0208,0.0,0.2,8.0,100000,0.15,1,0.0574,0.01168,0.0082
naca0208,0.0,0.2,8.0,100000,0.15,2,0.2147,0.01264,-0.004
naca0208,0.0,0.2,8.0,100000,0.15,3,0.3933,0.01192,-0.0111
naca0208,0.0,0.2,8.0,100000,0.15,4,0.47,0.01422,-0.0006
naca0208,0.0,0.2,8.0,100000,0.15,5,0.5534,0.02035,0.0048
naca0208,0.0,0.2,8.0,100000,0.15,6,0.6525,0.028,0.0087
naca0208,0.0,0.2,8.0,100000,0.15,7,0.7346,0.03963,0.0134
naca0208,0.0,0.2,8.0,100000,0.15,8,3.0458,0.06987,-0.6695
naca0208,0.0,0.2,8.0,100000,0.2,0,0.0,0.01135,-0.0
naca0208,0.0,0.2,8.0,100000,0.2,1,0.0566,0.01175,0.0085
naca0208,0.0,0.2,8.0,100000,0.2,2,0.2296,0.01264,-0.0064
naca0208,0.0,0.2,8.0,100000,0.2,3,0.3964,0.01198,-0.0105
naca0208,0.0,0.2,8.0,100000,0.2,4,0.6251,0.01551,-0.0428
naca0208,0.0,0.2,8.0,100000,0.2,5,0.559,0.02077,0.0053
naca0208,0.0,0.2,8.0,100000,0.2,6,0.6584,0.02879,0.0094
naca0208,0.0,0.2,8.0,100000,0.2,7,0.738,0.03945,0.015
naca0208,0.0,0.2,8.0,100000,0.2,8,0.8052,0.05808,0.009
naca0208,0.0,0.2,8.0,100000,0.25,0,0.0,0.01141,-0.0
naca0208,0.0,0.2,8.0,100000,0.25,1,0.0555,0.01184,0.0087
naca0208,0.0,0.2,8.0,100000,0.25,2,0.2467,0.01262,-0.009
naca0208,0.0,0.2,8.0,100000,0.25,3,0.4005,0.01207,-0.0097
naca0208,0.0,0.2,8.0,100000,0.25,4,0.7257,0.01983,-0.0426
naca0208,0.0,0.2,8.0,100000,0.25,5,0.5664,0.02134,0.0059
naca0208,0.0,0.2,8.0,100000,0.25,6,0.7204,0.02767,-0.0035
naca0208,0.0,0.2,8.0,100000,0.25,7,0.7456,0.04346,0.0139
naca0208,0.0,0.2,8.0,100000,0.25,8,1.651,0.02134,-0.177
naca0208,0.0,0.2,8.0,100000,0.3,0,0.0,0.0115,-0.0
